Bala,Búfalo,Donato,Faca
Batata,Bula,Dourado,Fala
Baú,Buzina,Doçura,Fada
Banana,Buda,Dúvida,Favela
Banco,Casa,Duelo,Ferida
Bebê,Caneta,Duda,Feijão
Bebida,Cama,Dúzia,Fé
Besouro,Cadeado,Dureza,Fera
Bexiga,Calo,Festa,Fivela
Bico,Cebola,Transporte,Fita
Biruta,Cenoura,Filho,Figo
Bibelô,Cedo,Cárie,Fiado
Bife,Cera,Escola,Filó
Bica,Cega,Terno,Fogo
Bola,Cidade,Futebol,Foca
Boca,Cigano,Exército,Fome
Bota,Cipó,Fogo,Foto
Bode,Cibele,Foca,Fobia
Boneca,Coroa,Fome,Futuro
Bule,Copo,Foto,Fubá
Buraco,Cola,Fobia,Fumaça
Carta,Comida,Fubá,Fumo
Janela,Couro,Fumaça,Fugiu
Amarelo,Couve,Fumo,
Lesma,Cuíca,Fugiu,
Garra,Cuba,,
Felino,Cubo,,
Correnteza,Cupido,,
Picada,Cuidado,,
Dinheiro,Dama,,
Barba,Dado,,
Jaula,Dava,,
Farelo,Data,,
Tosse,Davi,,
Droga,Dever,,
Jovem,Dedo,,
Selva,Feitiço,,
Torta,Decote,,
Rosa,Delícia,,
Tabaco,Demora,,
Chinelo,Dia,,
Inseto,Ditado,,
Taxímetro,Diva,,
Grade,Diana,,
Meia,Diná,,
Acerola,Doce,,
Gosma,Dona,,
Sexo,Família,,
Fermento,Cama,,
Leite,Cidade,,
Caderno,Machucado,,
Gola,Rede,,
Terra,Criança,,
Saxofone,,,